Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Rower Id,gx,gy,gz,sax,say,saz,rx,ry,Timestamp
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021-03-23 09:14:53.814166
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021-03-23 09:14:54.316379
0,44.5,-285.0,-76.0,-0.1773681640625,-0.6143798828125,-0.8211669921875,-36.17834622407332,9.81217060728788,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021-03-23 09:14:54.817208
0,61.5,-276.5,-95.5,-0.1812744140625,-0.61962890625,-0.8209228515625,-36.391135980221456,9.995630386777037,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021-03-23 09:14:55.322585
0,37.333333333333336,-307.3333333333333,-81.66666666666667,-0.16365559895833334,-0.6139322916666666,-0.8213704427083334,-36.24157373311786,9.067820295102296,1,-2213.0,-504.0,-349.0,1.033203125,-0.216552734375,0.4013671875,-11.054624903681395,-66.18314543127902,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021-03-23 09:14:55.823054
0,58.0,-301.5,-91.0,-0.17724609375,-0.612548828125,-0.82177734375,-36.077006440372585,9.810344176242214,1,-2211.5,-472.5,-345.5,1.03515625,-0.2249755859375,0.4005126953125,-11.458244686075272,-66.06567254351708,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2021-03-23 09:14:56.324211
0,51.0,-293.5,-80.0,-0.16357421875,-0.6131591796875,-0.817626953125,-36.32821176176069,9.093668614909497,1,-2206.0,-475.3333333333333,-327.6666666666667,1.0367024739583333,-0.21419270833333334,0.3986002604166667,-10.914067297194904,-66.41335799264473,2,-445.0,283.0,53.0,-0.58837890625,-0.365234375,-0.739990234375,-21.122999699152547,35.4888596485464,3,0,0,0,0,0,0,0,0,2021-03-23 09:14:56.825371
0,37.5,-308.5,-81.0,-0.179931640625,-0.6158447265625,-0.8201904296875,-36.25630762625327,9.951730921906524,1,-2219.5,-494.5,-341.0,1.034912109375,-0.21826171875,0.3968505859375,-11.13993921835656,-66.36414686480055,2,-450.5,309.5,27.0,-0.5931396484375,-0.3642578125,-0.7423095703125,-20.973980707318134,35.65104232739038,3,0,0,0,0,0,0,0,0,2021-03-23 09:14:57.328266
0,55.0,-303.5,-91.5,-0.1778564453125,-0.6158447265625,-0.8221435546875,-36.20752014502564,9.822347455873214,1,-2201.0,-490.5,-343.0,1.0369873046875,-0.22021484375,0.4019775390625,-11.199946396237571,-66.1545972119371,2,-456.6666666666667,300.3333333333333,-76.66666666666667,-0.5869954427083334,-0.3556315104166667,-0.74462890625,-20.558555088658636,35.427296895364506,3,47.5,207.5,-13.5,0.2911376953125,0.4298095703125,-0.7662353515625,27.67112369479224,-18.334180440949744,2021-03-23 09:14:57.831243
0,53.333333333333336,-298.3333333333333,-82.33333333333333,-0.17822265625,-0.6162109375,-0.81591796875,-36.420843915773894,9.887337654979182,1,-2222.0,-474.0,-346.0,1.0355224609375,-0.2276611328125,0.3995361328125,-11.591169431312501,-66.05275576922679,2,-442.0,314.0,45.5,-0.5877685546875,-0.3629150390625,-0.74609375,-20.911481886660443,35.31477854072562,3,31.0,197.5,-61.0,0.2930908203125,0.4285888671875,-0.76123046875,27.71827268579229,-18.547279577475237,2021-03-23 09:14:58.333531
